NM_000014.6	A2M
NM_001004451.1	OR1J1
NM_001004452.1	OR1J4
NM_001004453.3	OR1L6
NM_001004454.2	OR1L8
NM_001004456.2	OR1M1
NM_001004457.2	OR1N2
NM_001004458.2	OR1S1
NM_001004459.1	OR1S2
NM_001004460.2	OR10A2
NM_001004461.2	OR10A6
NM_001004462.2	OR10G4
NM_001004463.2	OR10G7
NM_001004464.2	OR10G8
NM_001004465.1	OR10H4
NM_001004466.2	OR10H5
NM_001004467.1	OR10J3
NM_001004469.1	OR10J5
NM_001004470.3	ST8SIA6
NM_001004471.2	OR10Q1
NM_001004472.1	OR10R2
NM_001004473.2	OR10K1
NM_001004474.1	OR10S1
NM_001004475.1	OR10T2
NM_001004476.2	OR10K2
NM_001004477.1	OR10X1
NM_001004478.2	OR10Z1
NM_001004479.2	OR11H4
NM_001004480.1	OR11H6
NM_001004481.1	OR13C2
NM_001004482.1	OR13C5
NM_001004483.1	OR13C8
NM_001004484.2	OR13D1
NM_001004485.1	OR13F1
NM_001004486.1	OR13H1
NM_001004487.1	OR13J1
NM_001004489.3	OR2AG1
NM_001004490.2	OR2AG2
NM_001004491.1	OR2AK2
NM_001004492.2	OR2B11
NM_001004.4	RPLP2
NM_001004684.1	OR2D3
NM_001004685.1	OR2F2
NM_001004687.2	OR2L3
NM_001004688.2	OR2M2
NM_001004689.2	OR2M3
NM_001004690.1	OR2M5
NM_001004691.1	OR2M7
NM_001004692.2	OR2T12
NM_001004693.2	OR2T10
NM_001004694.3	OR2T29
NM_001004695.2	OR2T33
NM_001004696.2	OR2T4
NM_001004697.2	OR2T5
NM_001004699.3	OR2Z1
NM_001004700.3	OR4C11
NM_001004701.2	OR4C16
NM_001004702.2	OR4C3
NM_001004703.1	OR4C46
NM_001004704.2	OR4C6
NM_001004705.2	OR4D10
NM_001004706.1	OR4D11
NM_001004707.4	OR4D2
NM_001004708.1	OR4D6
NM_001004711.2	OR4D9
NM_001004712.2	OR4K14
NM_001004713.2	OR1I1
NM_001004714.2	OR4K13
NM_001004715.5	OR4K17
NM_001004717.1	OR4L1
NM_001004719.2	OR4M2
NM_001004723.3	OR4N2
NM_001004724.2	OR4N5
NM_001004725.1	OR4S1
NM_001004726.1	OR4X1
NM_001004727.1	OR4X2
NM_001004728.2	OR5A1
NM_001004729.2	OR5AN1
NM_001004730.1	OR5AR1
NM_001004731.3	OR5AU1
NM_001004732.2	OR14K1
NM_001004733.3	OR5B12
NM_001004734.2	OR14I1
NM_001004735.1	OR5D14
NM_001004736.4	OR5K1
NM_001004737.1	OR5K2
NM_001004738.2	OR5L1
NM_001004739.1	OR5L2
NM_001004740.2	OR5M1
NM_001004741.1	OR5M10
NM_001004742.3	OR5M3
NM_001004743.1	OR5M9
NM_001004744.1	OR8U3
NM_001004745.2	OR5T1
NM_001004746.4	OR5T2
NM_001004747.2	OR5T3
NM_001004748.1	OR51A2
NM_001004749.2	OR51A7
NM_001004750.1	OR51B6
NM_001004751.3	OR51D1
NM_001004752.2	OR51F1
NM_001004753.2	OR51F2
NM_001004754.3	OR51I2
NM_001004755.2	OR51L1
NM_001004756.3	OR51M1
NM_001004757.2	OR51Q1
NM_001004758.1	OR51S1
NM_001004759.3	OR51T1
NM_001004760.3	OR51V1
NM_001005160.3	OR52A5
NM_001005161.3	OR52B4
NM_001005162.2	OR52B6
NM_001005163.2	OR52D1
NM_001005164.2	OR52E2
NM_001005165.2	OR52E4
NM_001005166.5	OR52E5
NM_001005167.2	OR52E6
NM_001005168.3	OR52E8
NM_001005169.1	OR52I1
NM_001005170.2	OR52I2
NM_001005171.3	OR52K1
NM_001005172.2	OR52K2
NM_001005173.3	OR52L1
NM_001005174.3	OR52N2
NM_001005175.5	OR52N4
NM_001005177.3	OR52R1
NM_001005178.1	OR52W1
NM_001005179.4	OR56A4
NM_001005180.3	OR56B1
NM_001005181.2	OR56B4
NM_001005182.2	OR6C1
NM_001005183.1	OR6C76
NM_001005184.1	OR6K6
NM_001005185.2	OR6N1
NM_001005186.2	OR6Q1
NM_001005187.1	OR6T1
NM_001005188.1	OR6X1
NM_001005189.2	OR6Y1
NM_001005190.2	OR7A10
NM_001005191.3	OR7D4
NM_001005192.2	OR7G1
NM_001005193.2	OR7G2
NM_001005194.2	OR8A1
NM_001005195.1	OR8B12
NM_001005196.1	OR8B4
NM_001005197.2	OR8D4
NM_001005198.2	OR8G5
NM_001005199.2	OR8H1
NM_001005201.1	OR8H3
NM_001005202.2	OR8K3
NM_001005204.1	OR8U1
NM_001005205.3	OR8J1
NM_001005209.3	TMEM198
NM_001005210.4	LRRC55
NM_001005211.2	OR9I1
NM_001005212.4	OR9Q1
NM_001005213.2	OR9G1
NM_001005214.4	LRRC52
NM_001005216.4	OR2J3
NM_001005218.3	OR5B21
NM_001005221.2	OR4F29
NM_001005224.2	OR4F3
NM_001005226.2	OR2B3
NM_001005234.1	OR1L3
NM_001005235.1	OR1L4
NM_001005236.3	OR1L1
NM_001005237.1	OR51G1
NM_001005238.2	OR51G2
NM_001005239.2	OR11H1
NM_001005240.3	OR4F17
NM_001005241.4	OR4N4
NM_001005242.3	PKP2
NM_001005243.2	OR9K2
NM_001005245.1	OR5M11
NM_001005270.4	OR4C12
NM_001005272.3	OR4A5
NM_001005273.3	CHD3
NM_001005274.1	OR4A16
NM_001005275.1	OR4A15
NM_001005276.1	OR2AE1
NM_001005277.1	OR4F16
NM_001005278.2	OR6N2
NM_001005279.3	OR6K2
NM_001005280.1	OR10A7
NM_001005281.3	OR6B1
NM_001005282.1	OR5M8
NM_001005283.3	OR9Q2
NM_001005284.2	OR9G4
NM_001005285.2	OR2AT4
NM_001005286.2	OR6F1
NM_001005287.2	OR2A1
NM_001005288.3	OR51I1
NM_001005289.5	OR52H1
NM_001005323.1	OR5AK2
NM_001005324.1	OR10V1
NM_001005325.1	OR6M1
NM_001005326.2	OR4F6
NM_001005327.3	OR6K3
NM_001005328.2	OR2A7
NM_001005329.2	OR51A4
NM_001005337.3	PKP1
NM_001005338.2	OR5H1
NM_001005339.2	RGS10
NM_001005356.3	POTEG
NM_001005361.3	DNM2
NM_001005365.2	POTEA
NM_001005373.4	LRSAM1
NM_001005388.3	NFASC
NM_001005404.4	YPEL2
NM_001005405.3	KRTAP5-11
NM_001005415.2	MARCHF2
NM_001005464.3	H3C15
NM_001005465.2	OR10G3
NM_001005466.2	OR10G2
NM_001005467.2	OR8B3
NM_001005468.2	OR8B2
NM_001005469.2	OR5B3
NM_001005470.1	OR4B1
NM_001005471.2	OR2T6
NM_001005473.3	PLCXD3
NM_001005479.2	OR5H6
NM_001005480.2	OR2A2
NM_001005482.2	OR5H2
NM_001005483.1	OR4K5
NM_001005484.2	OR4F5
NM_001005486.2	OR4K15
NM_001005487.2	OR13G1
NM_001005489.2	OR5B17
NM_001005490.2	OR6C74
NM_001005491.2	OR10AG1
NM_001005492.1	OR5J2
NM_001005493.2	OR6C6
NM_001005494.2	OR6C4
NM_001005495.1	OR2T3
NM_001005496.1	OR5D16
NM_001005497.2	OR6C75
NM_001005498.4	RHBDF2
NM_001005499.1	OR6C70
NM_001005500.2	OR4M1
NM_001005501.2	OR4K2
NM_001005504.1	OR4F21
NM_001005512.2	OR4A47
NM_001005513.1	OR4C45
NM_001005514.2	OR5H14
NM_001005515.2	OR5H15
NM_001005516.1	OR5K3
NM_001005517.1	OR5K4
NM_001005518.1	OR6C65
NM_001005519.2	OR6C68
NM_001005522.2	OR2T8
NM_001005566.3	OR5B2
NM_001005567.3	OR51B5
NM_001005.5	RPS3
NM_001005738.2	FPR2
NM_001005743.2	NUMB
NM_001005751.3	WASHC2A
NM_001005850.3	ZNF835
NM_001005851.3	ZNF780B
NM_001005853.1	OR6B2
NM_001005920.4	JMJD8
NM_001005922.1	KRTAP5-1
NM_001006117.3	RBMY1J
NM_001006118.3	RBMY1E
NM_001006120.3	RBMY1D
NM_001006121.4	RBMY1B
NM_001006.5	RPS3A
NM_001006605.5	DIPK1A
NM_001006607.2	LRRC37A2
NM_001006617.3	MAPKAP1
NM_001006630.2	CHRM2
NM_001006634.3	ARHGAP17
NM_001006638.3	RAB37
NM_001006658.3	CR2
NM_001006681.2	SPIN2B
NM_001006935.3	TCEAL4
NM_001007025.2	GOSR1
NM_001007033.2	CLEC6A
NM_001007088.2	ZNF182
NM_001007089.4	RESP18
NM_001007090.3	C8orf48
NM_001007122.4	FSD2
NM_001007157.2	PHF14
NM_001007189.2	IGIP
NM_001007228.2	SPOP
NM_001007231.3	ARHGAP25
NM_001007232.1	CARD17
NM_001007237.3	IGSF3
NM_001007248.3	ZNF599
NM_001007253.4	ERV3-1
NM_001007467.3	SFI1
NM_001007523.2	F8A2
NM_001007524.2	F8A3
NM_001007525.5	NWD1
NM_001007527.2	LMBRD2
NM_001007530.3	CDRT15
NM_001007531.3	NKAPL
NM_001007532.3	STH
NM_001007533.4	PPP1R27
NM_001007534.2	C3orf56
NM_001007537.2	C1QTNF9B
NM_001007538.2	SHISA2
NM_001007540.4	CDHR4
NM_001007544.4	RHEX
NM_001007551.5	CT45A5
NM_001007553.3	CSDE1
NM_001007559.3	SS18
NM_001007561.3	IRGQ
NM_001007563.3	IGFBPL1
NM_001007595.3	C2CD4B
NM_001007.5	RPS4X
NM_001008212.2	OPTN
NM_001008215.3	COA5
NM_001008216.2	GALE
NM_001008218.2	AMY1B
NM_001008219.3	AMY1C
NM_001008220.2	CPLX2
NM_001008223.2	C1QL4
NM_001008237.3	TTC32
NM_001008269.3	TMEM89
NM_001008270.3	PRSS37
NM_001008272.2	TAGLN3
NM_001008274.4	TRIM72
NM_001008387.3	REG3G
NM_001008388.5	CISD2
NM_001008390.2	CGGBP1
NM_001008391.4	CCDC73
NM_001008392.2	CTDSPL
NM_001008393.4	C4orf46
NM_001008394.3	EID3
NM_001008395.4	LAMTOR4
NM_001008397.4	GPX8
NM_001008404.3	C14orf180
NM_001008409.5	TTLL9
NM_001008489.4	PHOSPHO2
NM_001008495.4	TMEM64
NM_001008.4	RPS4Y1
NM_001008536.2	TCHHL1
NM_001008537.3	NEXMIF
NM_001008661.3	KYAT3
NM_001008693.3	CST9
NM_001008703.4	SMIM29
NM_001008708.4	CHAC2
NM_001008710.3	RBPMS
NM_001008723.2	CFAP58
NM_001008727.5	ZNF121
NM_001008739.2	C6orf226
NM_001008740.4	TMCO2
NM_001008747.2	CTAGE15
NM_001008749.3	RAB19
NM_001008777.3	FBXO47
NM_001008778.2	SPDYC
NM_001008783.3	SLC35D3
NM_001008801.2	ZNF468
NM_001008895.4	CUL4A
NM_001008938.4	CKAP5
NM_001008949.3	ITPRIPL1
NM_001009184.2	GRINA
NM_001009185.3	ACSL6
NM_001009.4	RPS5
NM_001009552.2	PPP2CB
NM_001009565.2	CDKL4
NM_001009566.3	CLSTN1
NM_001009606.4	HS3ST6
NM_001009608.3	SLX4IP
NM_001009609.4	SPANXN3
NM_001009611.4	PRAMEF4
NM_001009613.4	SPANXN4
NM_001009614.3	SPANXN1
NM_001009615.2	SPANXN2
NM_001009616.4	SPANXN5
NM_001009880.2	KIAA0930
NM_001009881.3	TUT4
NM_001009894.3	C12orf29
NM_001009899.4	USF3
NM_001009905.3	B3GNTL1
NM_001009909.4	LUZP2
NM_001009921.3	VPS8
NM_001009923.2	TMEM230
NM_001009931.3	HRNR
NM_001009944.3	PKD1
NM_001009955.4	SSBP3
NM_001009984.3	DNAAF9
NM_001009992.1	ZNF648
NM_001009993.4	FAM168B
NM_001009994.3	RIPPLY2
NM_001009996.3	DALRD3
NM_001009997.3	C10orf62
NM_001009999.3	KDM1A
NM_001010.3	RPS6
NM_001010844.4	IRAK1BP1
NM_001010846.3	SHE
NM_001010847.2	LRRC38
NM_001010848.4	NRG3
NM_001010851.3	ZNF766
NM_001010852.4	CLVS2
NM_001010853.3	PM20D2
NM_001010854.2	TTC7B
NM_001010855.4	PIK3R6
NM_001010857.3	LELP1
NM_001010858.3	RNF187
NM_001010859.3	C22orf42
NM_001010860.4	SAMD15
NM_001010862.3	SPIN3
NM_001010867.4	IBA57
NM_001010868.3	C6orf163
NM_001010870.3	TDRD6
NM_001010872.3	FAM83B
NM_001010873.3	TSPO2
NM_001010874.5	TECRL
NM_001010875.4	SLC25A30
NM_001010876.2	TMEM244
NM_001010879.4	ZIK1
NM_001010881.2	C1orf167
NM_001010883.3	FAM102B
NM_001010886.5	CLPSL1
NM_001010887.3	ACER2
NM_001010888.3	ZC3H12B
NM_001010889.2	PRAMEF6
NM_001010890.3	PRAMEF9
NM_001010892.3	RSPH4A
NM_001010893.3	SLC10A5
NM_001010897.3	SERP2
NM_001010898.4	SLC6A17
NM_001010903.5	BNIP5
NM_001010904.2	GLYATL3
NM_001010905.3	C6orf58
NM_001010906.2	NUGGC
NM_001010908.2	C1QL3
NM_001010909.5	MUC21
NM_001010912.4	C10orf120
NM_001010915.5	HACD4
NM_001010917.3	GOLGA7B
NM_001010919.3	CALHM6
NM_001010922.3	BCL2L15
NM_001010923.3	THEMIS
NM_001010924.2	FAM171A1
NM_001010926.4	HES5
NM_001010939.2	LIPJ
NM_001010940.3	C9orf135
NM_001010942.3	RAP1B
NM_001010969.4	CYP4A22
NM_001010977.3	METTL21C
NM_001010978.4	LDLRAD1
NM_001010979.3	C1orf189
NM_001010980.5	NCMAP
NM_001010982.5	AFMID
NM_001010985.3	MYBPHL
NM_001010987.2	IFIT1B
NM_001011.4	RPS7
NM_001011547.3	SLC5A9
NM_001011548.1	MAGEA4
NM_001011551.3	C1GALT1C1
NM_001011552.4	SLC9A4
NM_001011655.3	TMEM44
NM_001011658.4	TRAPPC2
NM_001011663.2	PCGF6
NM_001011671.3	CHCHD7
NM_001011700.3	MCCD1
NM_001011709.3	PNLIPRP3
NM_001011713.3	NAA30
NM_001011717.1	NMS
NM_001011718.2	XKR7
NM_001011719.2	ARSH
NM_001011720.2	XKR9
NM_001011878.3	DEFB121
NM_001012264.4	RNASE13
NM_001012267.3	CENPP
NM_001012276.3	PRAMEF8
NM_001012277.4	PRAMEF7
NM_001012279.3	SOGA3
NM_001012.2	RPS8
NM_001012301.4	ARSI
NM_001012302.3	ANO9
NM_001012338.3	NTRK3
NM_001012339.3	DNAJC21
NM_001012361.4	WDR31
NM_001012393.5	OPCML
NM_001012414.3	TRIM61
NM_001012416.1	KRTAP5-6
NM_001012417.3	MS4A13
NM_001012418.5	MYLK4
NM_001012425.2	C1orf146
NM_001012426.2	FOXP4
NM_001012446.4	FAM221B
NM_001012455.2	ZSCAN23
NM_001012502.3	CFAP157
NM_001012503.2	KRTAP5-7
NM_001012507.4	CENPW
NM_001012614.2	CTBP1
NM_001012642.3	GRAMD2A
NM_001012643.4	MYPOP
NM_001012659.2	ARGFX
NM_001012708.2	KRTAP5-3
NM_001012710.2	KRTAP5-10
NM_001012720.2	RGR
NM_001012728.1	DPRX
NM_001012729.2	DUXA
NM_001012750.3	ABI1
NM_001012754.4	NHLRC3
NM_001012755.5	SLC25A53
NM_001012758.3	NUDT17
NM_001012759.3	CTU2
NM_001012967.3	DDX60L
NM_001012968.3	SPIN4
NM_001012970.3	C1orf100
NM_001012971.4	FAM209A
NM_001012973.3	PLAC9
NM_001012974.3	LRRC73
NM_001012975.3	RNASE10
NM_001012977.3	PABPC1L2A
NM_001012978.3	BEX5
NM_001012979.3	TCEAL5
NM_001012981.5	ZKSCAN2
NM_001012984.3	C16orf86
NM_001012991.3	KNOP1
NM_001012993.3	C9orf152
NM_001012994.2	SNX30
NM_001013251.3	SLC3A2
NM_001013354.1	OR11H12
NM_001013355.2	OR2G6
NM_001013356.2	OR8U8
NM_001013357.1	OR8U9
NM_001013358.2	OR9G9
NM_001013403.3	CXorf66
NM_001013407.4	PRAMEF5
NM_001013435.3	PAGE5
NM_001013437.2	SEH1L
NM_001013.4	RPS9
NM_001013579.3	AWAT1
NM_001013615.3	LURAP1
NM_001013619.4	HYKK
NM_001013620.4	ALG10B
NM_001013623.3	ZC2HC1B
NM_001013625.4	CFAP126
NM_001013627.3	NHSL2
NM_001013628.3	DCAF12L2
NM_001013630.2	AADACL4
NM_001013631.3	HNRNPCL1
NM_001013635.4	CCDC184
NM_001013638.1	PRR25
NM_001013641.3	TMEM82
NM_001013642.3	TRNP1
NM_001013646.4	FAM209B
NM_001013647.2	FAM227A
NM_001013649.4	C2orf68
NM_001013650.2	PRR23B
NM_001013653.3	LRRC26
NM_001013657.3	GDPGP1
NM_001013659.3	ZNF793
NM_001013661.1	VSIG8
NM_001013663.2	PTRHD1
NM_001013672.5	C17orf97
NM_001013693.3	LDLRAD2
NM_001013694.3	SRRD
NM_001013698.2	SMCO3
NM_001013699.3	H3-5
NM_001013703.4	EIF2AK4
NM_001013706.3	PLIN5
NM_001013734.3	RFPL4B
NM_001013735.1	FOXB2
NM_001013736.3	FAM47C
NM_001013742.4	DGKK
NM_001013743.3	TMEM225
NM_001013836.2	MAD1L1
NM_001013838.3	CARMIL2
NM_001013839.4	EXOC7
NM_001013841.2	STAP2
NM_001013842.3	C8orf58
NM_001013845.2	EOLA2
NM_001014279.3	ANXA2R
NM_001014283.2	DCUN1D2
NM_001014286.3	SUPT20H
NM_001014291.4	SPRR2G
NM_001014336.2	IL31
NM_001014342.3	FLG2
NM_001014436.3	DBNL
NM_001014437.3	CARS1
NM_001014440.4	ODF3B
NM_001014443.3	USP21
NM_001014446.3	OCIAD2
NM_001014447.3	CPZ
NM_001014450.3	SPRR2F
NM_001014.5	RPS10
NM_001014809.3	CRMP1
NM_001014840.2	CUTA
NM_001014979.3	CCDC189
NM_001014980.3	C1QTNF12
NM_001014985.3	GLTPD2
NM_001014987.2	LAT
NM_001014999.3	SLX1A
NM_001015038.3	PAGE2B
NM_001015048.3	BAG5
NM_001015052.3	MPG
NM_001015055.2	RTKN
NM_001015072.4	UFSP1
NM_001015.5	RPS11
NM_001015877.2	PHF6
NM_001015878.2	AURKC
NM_001015880.2	PAPSS2
NM_001015882.3	DNAJC25
NM_001015887.3	IGSF11
NM_001016.4	RPS12
NM_001017361.3	KHDC3L
NM_001017363.4	ARID3C
NM_001017365.3	C4BPB
NM_001017368.2	RFFL
NM_001017372.3	SLC27A6
NM_001017373.4	SAMD3
NM_001017390.3	SULT1A4
NM_001017392.5	SUGP2
NM_001017395.5	TMCC1
NM_001017.3	RPS13
NM_001017403.2	LGR6
NM_001017405.3	MAEA
NM_001017417.3	CT45A1
NM_001017420.3	ESCO2
NM_001017425.3	KCNK2
NM_001017437.5	CCDC157
NM_001017438.3	CT45A6
NM_001017915.3	INPP5D
NM_001017919.2	RCCD1
NM_001017920.3	DAPL1
NM_001017921.4	VMAC
NM_001017922.2	ERMAP
NM_001017923.2	C14orf28
NM_001017924.5	LRIT2
NM_001017928.4	MIX23
NM_001017930.2	DCAF8L1
NM_001017931.3	PAGE3
NM_001017961.5	FAM78B
NM_001017962.3	P4HA1
NM_001017964.2	YDJC
NM_001017969.3	KIAA2026
NM_001017970.3	TMEM30B
NM_001017974.2	P4HA2
NM_001017975.6	HFM1
NM_001017978.4	CT83
NM_001017979.3	RAB28
NM_001017980.4	VMA21
NM_001017981.2	RNF215
NM_001017990.2	H2AB1
NM_001017991.3	H2AB2
NM_001017992.4	ACTBL2
NM_001017995.3	SH3PXD2B
NM_001017998.4	GNG10
NM_001018005.2	TPM1
NM_001018024.3	CMC4
NM_001018025.4	MTCP1
NM_001018050.4	POLR3H
NM_001018055.3	BRCC3
NM_001018057.2	DKK3
NM_001018069.2	SERBP1
NM_001018071.4	FRMPD2
NM_001018072.2	BTBD11
NM_001018100.5	MYZAP
NM_001018108.4	SERF2
NM_001018109.3	PIR
NM_001018111.3	PODXL
NM_001018113.3	FANCB
NM_001018115.3	FANCD2
NM_001018116.2	CAVIN4
NM_001018.5	RPS15
NM_001019.5	RPS15A
NM_001020658.2	PUM1
NM_001020.6	RPS16
NM_001021.6	RPS17
NM_001022.4	RPS19
NM_001023.4	RPS20
NM_001023560.4	ZSCAN26
NM_001023561.4	ZNF749
NM_001023563.4	ZNF805
NM_001023567.5	GOLGA8B
NM_001023570.4	IQCB1
NM_001024209.4	SPRR2E
NM_001024211.2	S100A13
NM_001024383.2	NAV3
NM_001024401.3	SBK1
NM_001024455.4	RTL5
NM_001024.4	RPS21
NM_001024593.2	MSS51
NM_001024594.3	C1orf53
NM_001024598.4	HES3
NM_001024599.5	H2BC18
NM_001024601.3	SPATA45
NM_001024611.3	LRRC66
NM_001024613.4	FEZF1
NM_001024630.4	RUNX2
NM_001024644.2	XCR1
NM_001024661.2	PRAMEF14
NM_001024674.3	LIN52
NM_001024675.2	ACTL10
NM_001024678.4	LRRC24
NM_001024679.3	C1orf68
NM_001024680.3	FBXO48
NM_001024736.2	CD276
NM_001024807.3	APLP1
NM_001024808.3	BCL7A
NM_001024822.3	RNASE12
NM_001024845.3	SLC6A9
NM_001024924.2	EXOC1
NM_001024939.4	SLC2A11
NM_001025091.2	ABCF1
NM_001025096.2	PSMA8
NM_001025101.2	MBP
NM_001025109.2	CD34
NM_001025159.3	CD74
NM_001025195.2	CES1
NM_001025200.4	CTRB2
NM_001025231.2	KPRP
NM_001025248.2	DUT
NM_001025253.3	TPD52
NM_001025265.3	CXorf65
NM_001025266.3	C3orf70
NM_001025290.3	DPPA5
NM_001025295.3	IFITM5
NM_001025300.3	RAB12
NM_001025356.3	ANO6
NM_001025357.3	AARD
NM_001025389.2	AMPD3
NM_001025591.4	SCGB2B2
NM_001025595.3	ARFIP1
NM_001025598.2	ARHGAP30
NM_001025.5	RPS23
NM_001025603.2	RFX5
NM_001025616.3	ARHGAP24
NM_001025780.3	ABHD17B
NM_001028.3	RPS25
NM_001029.5	RPS26
NM_001029858.4	SLC35F1
NM_001029859.3	KCTD21
NM_001029860.4	FBXO43
NM_001029861.3	NANOS2
NM_001029864.2	KIAA1755
NM_001029865.4	DBX1
NM_001029869.3	PLAC8L1
NM_001029870.3	SOWAHB
NM_001029871.4	RSPO4
NM_001029874.3	REP15
NM_001029875.3	RGS7BP
NM_001029881.3	CIB4
NM_001029883.3	PCARE
NM_001029884.3	PLEKHG1
NM_001029885.2	CPTP
NM_001029886.3	PFN3
NM_001029888.3	FAM24A
NM_001029891.3	PGAM4
NM_001029896.2	WDR45
NM_001029954.3	CDNF
NM_001029955.4	DCAF4L1
NM_001029997.4	ZNF181
NM_001029998.6	SLC10A7
NM_001030005.3	CPLX3
NM_001030006.2	AP2B1
NM_001030013.2	NPS
NM_001030019.2	SUN3
NM_001030055.2	ARHGAP5
NM_001030059.3	PLPP4
NM_001030060.3	SAMD5
NM_001030.6	RPS27
NM_001031.5	RPS28
NM_001031617.3	COX19
NM_001031618.3	SPDYE2
NM_001031623.3	ZNF451
NM_001031628.2	SMAGP
NM_001031672.4	CYB5RL
NM_001031677.4	RAB24
NM_001031679.3	MSRB3
NM_001031684.3	SRSF7
NM_001031685.3	TP53BP2
NM_001031689.3	PLAA
NM_001031690.3	FAM131B
NM_001031692.3	LRRC17
NM_001031698.3	PRPF40B
NM_001031701.3	NT5DC3
NM_001031702.4	SEMA5B
NM_001031703.3	ELP6
NM_001031705.3	CT55
NM_001031709.3	RNLS
NM_001031710.3	KLHL7
NM_001031711.3	ERGIC1
NM_001031712.3	TRMT11
NM_001031713.4	MCUR1
NM_001031715.3	IQCH
NM_001031716.5	NABP1
NM_001031721.4	ZNF613
NM_001031722.4	ATAT1
NM_001031723.4	DNAJB14
NM_001031725.6	DDX59
NM_001031727.4	MRI1
NM_001031732.4	YTHDC1
NM_001031734.4	FDX2
NM_001031738.3	TMEM150A
NM_001031739.3	ASB9
NM_001031743.3	CFAP206
NM_001031745.5	RIBC1
NM_001031746.5	VSTM4
NM_001031748.4	C12orf40
NM_001031749.3	LYPD5
NM_001031803.2	LLGL2
NM_001031827.3	BOLA2
NM_001031834.1	RAB40AL
NM_001031836.3	KCNU1
NM_001031850.4	PSG6
NM_001031854.2	ACCSL
NM_001031855.3	LONRF3
NM_001032221.6	STXBP1
NM_001032283.3	TMPO
NM_001032288.3	UBE2V1
NM_001032291.3	PSRC1
NM_001032296.4	STK24
NM_001032363.4	MICOS10
NM_001032373.2	ZNF226
NM_001032382.2	PQBP1
NM_001032386.2	SUOX
NM_001032392.4	PLGLB1
NM_001032396.4	PJA1
NM_001032.5	RPS29
NM_001032999.3	CBFA2T2
NM_001033002.4	RPAIN
NM_001033017.3	DEFB135
NM_001033018.2	DEFB136
NM_001033025.3	EXTL2
NM_001033026.2	TMEM259
NM_001033031.2	FAIM
NM_001033044.4	GLUL
NM_001033046.4	CYBC1
NM_001033047.3	NPNT
NM_001033050.3	MTERF2
NM_001033057.2	MAGI1
NM_001033080.1	TAAR2
NM_001033081.3	MYCL
NM_001033088.3	NGRN
NM_001033113.2	ENTPD8
NM_001033561.2	PHF12
NM_001033564.3	FAM229B
NM_001033566.3	RHOT1
NM_001033578.3	SGK3
NM_001033.5	RRM1
NM_001033602.4	MTUS2
NM_001033677.2	CABP1
NM_001033678.4	TRPT1
NM_001033719.3	ZNF404
NM_001033723.3	ZNF704
NM_001033855.3	DCLRE1C
NM_001033910.3	TRAF5
NM_001033930.3	UBA52
NM_001034077.4	H4C15
NM_001034116.2	EIF2B4
NM_001034172.4	SLC25A52
NM_001034173.4	ALDH1L2
NM_001034.4	RRM2
NM_001034832.5	SSX4B
NM_001034841.4	ITPRIPL2
NM_001034842.4	PTCHD3
NM_001034845.3	GALNTL6
NM_001034850.3	RETREG1
NM_001034852.3	SMOC1
NM_001034954.3	SORBS1
NM_001034996.3	RPL14
NM_001035005.4	C18orf32
NM_001035006.5	RPL17
NM_001035223.4	RGL3
NM_001035235.4	SRA1
NM_001035254.3	FAM102A
NM_001035267.2	RPL41
NM_001035.3	RYR2
NM_001035521.3	GTF3C2
NM_001036.6	RYR3
NM_001037131.3	AGAP1
NM_001037132.4	NRCAM
NM_001037160.3	CYS1
NM_001037161.2	ACOT1
NM_001037163.2	FAM220A
NM_001037165.2	FOXK1
NM_001037171.2	ACOT9
NM_001037172.3	PXYLP1
NM_001037225.3	MAJIN
NM_001037232.4	ZNF829
NM_001037281.2	PARD6A
NM_001037283.2	EIF3B
NM_001037317.2	PLPPR5
NM_001037329.4	CNGA4
NM_001037331.3	SMIM21
NM_001037333.3	CYFIP2
NM_001037335.2	HELZ2
NM_001037380.1	DEFB109B
NM_001037442.4	RUFY3
NM_001037497.2	DEFB110
NM_001037499.2	DEFB114
NM_001037500.2	DEFB124
NM_001037501.4	NBPF8
NM_001037540.3	SCML1
NM_001037582.3	SCD5
NM_001037.5	SCN1B
NM_001037637.2	BTF3
NM_001037666.3	CASTOR1
NM_001037668.1	DEFB107A
NM_001037729.1	DEFB113
NM_001037730.1	DEFB115
NM_001037731.1	DEFB116
NM_001037732.3	DEFB128
NM_001037763.3	COL28A1
NM_001037804.1	DEFB130A
NM_001037806.4	NCKAP5L
NM_001037813.4	ZNF284
NM_001037814.1	GAB4
NM_001037954.4	DIXDC1
NM_001037984.3	SLC38A10
NM_001038603.3	MARVELD2
NM_001038640.2	GOLGA6A
NM_001038.6	SCNN1A
NM_001038705.3	GPR149
NM_001039029.3	LRTM2
NM_001039083.5	ARL17B
NM_001039111.3	TRIM71
NM_001039112.2	FER1L6
NM_001039127.6	ZNF718
NM_001039141.3	TRIOBP
NM_001039152.3	RGS21
NM_001039165.4	MRGPRE
NM_001039182.4	BOLA2B
NM_001039199.3	TTPAL
NM_001039211.3	ATAD3C
NM_001039213.4	CEACAM16
NM_001039348.3	EFEMP1
NM_001039355.3	SLC25A29
NM_001039361.4	PRAMEF10
NM_001039362.2	ATP6V1C2
NM_001039372.4	HEPACAM2
NM_001039374.5	CCDC183
NM_001039396.2	MPEG1
NM_001039397.2	TBC1D28
